PROBLEMAS IDENTIFICADOS,OBJETIVOS ESTRATÉGICOS,INDICADORES,METAS AL 2026
"Corrupción endémica en todos los niveles del aparato público","Crearemos una Central de lucha Contra la Corrupción (CCC) con plenos poderes para detectar e infiltrar el delito.","Pérdida de confianza de los ciudadanos a los gobernantes. Falta de transparencia en contratos.","Reduciremos sustancialmente la corrupción y recuperaremos la confianza del pueblo."
"Altos niveles de delincuencia y proliferación del pandillaje","Derrotaremos la delincuencia común y terrorismo urbano con Unidades Itinerantes de Pacificación Ciudadana.","Altos índices de inseguridad ciudadana. Uso de tecnología para vigilancia.","Reducir significativamente índices de violencia y extorsión."
"Pobreza extrema como lastre para el desarrollo","Reforzaremos organizaciones populares para distribuir ayuda alimentaria y erradicar pobreza extrema.","Desnutrición en hogares vulnerables y desempleo.","Disminuir significativamente pobreza extrema y desnutrición."
"Escasez de áreas de esparcimiento familiar","Extenderemos a todo el país la experiencia de los Clubes Zonales para fortalecer valores familiares.","Falta de lugares de esparcimiento para las familias.","Aumentaremos los lugares de esparcimiento familiar en todo el Perú."
"Desnutrición crónica infantil","Alimentación desde el vientre materno, continuando en guarderías y colegios.","Incumplimiento de estándares de calidad en programas sociales.","Erradicaremos la anemia y la desnutrición infantil."
"Déficit de viviendas populares","Habilitaremos terrenos del Estado con servicios básicos para viviendas sismo resistentes.","Falta de accesibilidad a proyectos con financiación.","Mejoraremos las viviendas sociales durante los 5 años."
"Poca atención ante el friaje en zonas altoandinas","Crearemos Sistema de Tambos para abastecimiento de medicinas. Implementaremos casas térmicas.","Falta de capacitación por parte de autoridades en zonas altoandinas.","Reduciremos impactos negativos del friaje en la población."
"Déficit de pescado para la mesa popular","Cadenas de frío para poner proteínas de pescado al alcance popular (Del mar a la olla).","Costos elevados de alimento marino.","Incrementaremos consumo de pescado fomentando anchoveta y jurel."
"Déficit en el Sector Salud y medicamentos","Presupuesto priorizado para los más pobres. Acabar con cobros excesivos por medicamentos.","Falta de productos e incremento en costos de medicinas.","Garantizaremos medicamentos básicos en todas las farmacias."
"Postas Médicas deficientes","Dotar de infraestructura, materiales y profesionales a las Postas Médicas.","Falta de equipamiento y calidad profesional en Postas.","Impulsar y dotar con equipamiento adecuado y personal capacitado."
"Déficit de deporte como prioridad","El deporte será política de Estado. Crearemos Centros de Alto Rendimiento Deportivo (CAR).","Altos índices de obesidad y poca actividad física.","Fortaleceremos los Centros de Alto Rendimiento Deportivo."
"Deficiente organización de los Ministerios","Simplificación administrativa intensiva. Implementaremos CÓDIGO EL SERVICIO PÚBLICO con sanciones.","Excesiva burocracia en entidades públicas.","Modernización en la organización y funcionamiento ministerial."
"Elevado número de ministerios","Reduciremos el número de ministerios eliminando ineficiencia y sobredimensionamiento.","Falta de resultados concretos y duplicidad de funciones.","Reducir Ministerios y redistribuir personal a sedes desconcentradas."
"Servicio civil con baja valoración","Ingreso por méritos y competencias. Énfasis en pruebas de conocimientos sobre entrevistas.","Nepotismo y contratación de amistades en el aparato estatal.","Revaloraremos la función pública basada en meritocracia."
"Excesiva carga procesal","Ley para que controversias comerciales y civiles se resuelvan vía arbitral.","Lentitud en resolución de procesos judiciales.","Fortalecer jurisdicción arbitral y reducir plazos procesales."
"Escasez de recursos para Sector Defensa","Modernizaremos las FFAA incrementando capacidad disuasiva. Pacificar el VRAEM.","Equipos técnicos inoperativos en las Fuerzas Armadas.","Equipamiento moderno y mayor capacidad operativa para FFAA."
"Inestabilidad Económico-financiera","Crecimiento sostenido del PBI e inflación reducida. Mantener fortaleza de la moneda.","Inestabilidad política de los últimos 10 años.","Incremento anual del PBI hasta llegar al 7% al quinto año."
"Reducida industrialización tecnológica","Impulsar producción de bienes con valor agregado y atraer industrias con TLCs.","Déficit de sectores productivos en generación de empleos.","Generación de dos millones de empleos nuevos."
"Falta de incentivos a las PYMES","Crear Instituto de Promoción y Desarrollo de PYMEs para formalización y exportación.","Falta de Clusters en el sector productivo e industrial.","PYMEs con visión internacional y certificado CERTIPYME."
"Deficiente Sistema de transporte","Potenciaremos el 'Metropolitano'. Impulsar trenes de cercanías y líneas del Metro.","Desorden vial en las principales ciudades.","Sistemas BRT y trenes urbanos eficientes en todo el país."
"Déficit de redes ferroviarias","Redes modernas Tumbes-Tacna y Tren Bioceánico Atlántico-Pacífico.","Marcado déficit de redes ferroviarias a nivel nacional.","Concluir línea ferroviaria Tumbes-Tacna al 5to año."
"Deficiente control de gases invernadero","Control de emisiones según Convenio de Kyoto protegiendo biodiversidad.","Altos índices de material particulado y radiación UV.","Reducción significativa de emisiones contaminantes."
"Deficiente manejo de recursos hídricos","Evitar vertido de desechos en ríos. Tratamiento de aguas contaminadas. Agua en la esquina.","Contaminación por relaves mineros y aguas servidas.","Agua de calidad e incremento de servicio de agua potable."
"Deficiente protección de los bosques","Proteger bosques contra tala ilegal. Política enérgica de reforestación.","Disminución de bosques de manera significativa.","Reforestar 500 mil hectáreas anuales con apoyo de reservistas."
"Deficiente generación de energía limpia","Priorizar energía hidroeléctrica, eólica y solar con incentivos privados.","Uso de energía térmica que afecta la calidad del aire.","Fuentes de energía limpia para pueblos rurales y aislados."
